,id,permit_,permit_type,review_type,application_start_date,issue_date,processing_time,street_number,street_direction,street_name,suffix,work_description,building_fee_paid,zoning_fee_paid,other_fee_paid,subtotal_paid,building_fee_unpaid,zoning_fee_unpaid,other_fee_unpaid,subtotal_unpaid,building_fee_waived,zoning_fee_waived,other_fee_waived,subtotal_waived,total_fee,contact_1_type,contact_1_name,contact_1_city,contact_1_state,contact_1_zipcode,contact_2_type,contact_2_name,contact_2_city,contact_2_state,contact_2_zipcode,contact_3_type,contact_3_name,contact_3_city,contact_3_state,contact_3_zipcode,contact_4_type,contact_4_name,contact_4_city,contact_4_state,contact_4_zipcode,contact_5_type,contact_5_name,contact_5_city,contact_5_state,contact_5_zipcode,contact_6_type,contact_6_name,contact_6_city,contact_6_state,contact_6_zipcode,contact_7_type,contact_7_name,contact_7_city,contact_7_state,contact_7_zipcode,contact_8_type,contact_8_name,contact_8_city,contact_8_state,contact_8_zipcode,contact_9_type,contact_9_name,contact_9_city,contact_9_state,contact_9_zipcode,contact_10_type,contact_10_name,contact_10_city,contact_10_state,contact_10_zipcode,contact_11_type,contact_11_name,contact_11_city,contact_11_state,contact_11_zipcode,contact_12_type,contact_12_name,contact_12_city,contact_12_state,contact_12_zipcode,contact_13_type,contact_13_name,contact_13_city,contact_13_state,contact_13_zipcode,contact_14_type,contact_14_name,contact_14_city,contact_14_state,contact_14_zipcode,contact_15_type,contact_15_name,contact_15_city,contact_15_state,contact_15_zipcode,reported_cost,pin1,pin2,pin3,pin4,pin5,pin6,pin7,pin8,pin9,pin10,community_area,census_tract,ward,xcoordinate,ycoordinate,latitude,longitude,location
0,3330765,101021961,PERMIT - EASY PERMIT PROCESS,EASY PERMIT WEB,2023-06-26T00:00:00.000,2023-06-26T00:00:00.000,0,5436,W,SCHOOL,ST,ROOF RECOVER ONLY - NO STRUCTURAL WORK,0.0,0.0,0,0.0,350.0,50.0,0,400.0,0.0,0,0,0.0,400.0,OWNER AS GENERAL CONTRACTOR,ERIC G GONZALEZ,CHICAGO,IL,60641,OWNER AS GENERAL CONTRACTOR,ERIC GONZALEZ,CHICAGO,IL,60641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000.0,13-21-320-025-0000,,,,,,,,,,15.0,151100.0,30.0,1139376.66557001,1921444.2054039924,41.940555558,-87.763153195,POINT (-87.763153195317 41.940555558327)
1,3330742,101021943,PERMIT - EASY PERMIT PROCESS,EASY PERMIT WEB,2023-06-26T00:00:00.000,2023-06-26T00:00:00.000,0,7827,S,SOUTH SHORE,DR,ROOF RECOVER ONLY - NO STRUCTURAL WORK,0.0,0.0,0,0.0,350.0,75.0,0,425.0,0.0,0,0,0.0,425.0,CONTRACTOR-GENERAL CONTRACTOR,'98 BUILDERS INC,CHICAGO,IL,60623,OWNER,PAPA CTO CONSULTING,CHICAGO,IL,60602-,OWNER,"SOUTH SHORE UNITS, LLC",CHICAGO,IL,60619,CONTRACTOR-PLUMBER/PLUMBING,ESPIN PLUMBING INC.,BELLWOOD,IL,60104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000.0,21-30-415-018-0000,,,,,,,,,,43.0,431400.0,7.0,1197939.7552553357,1853974.7348857287,41.754147069,-87.550178133,POINT (-87.550178132804 41.754147069392)
2,3330666,101021894,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,2023-06-26T00:00:00.000,2023-06-26T00:00:00.000,0,9608,S,EMERALD,AVE,"REPLACE 11 LIGHTS, 16 SWITCHES, AND 15 OUTLETS.",75.0,0.0,0,75.0,0.0,0.0,0,0.0,0.0,0,0,0.0,75.0,CONTRACTOR-ELECTRICAL,KOMAR ELECTRIC,ARLINGTON HEIGHTS,IL,60004-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7854.0,25-09-108-075,,,,,,,,,,73.0,730500.0,21.0,1172962.5292750432,1841076.966831787,41.719341321,-87.642090376,POINT (-87.64209037582 41.719341321276)
3,3330587,101021837,PERMIT - EASY PERMIT PROCESS,EASY PERMIT WEB,2023-06-26T00:00:00.000,2023-06-26T00:00:00.000,0,4417,N,LAPORTE,AVE,FENCES: 35FT IN X 6FT IN: QTY 1,150.0,75.0,0,225.0,0.0,0.0,0,0.0,0.0,0,0,0.0,225.0,CONTRACTOR-GENERAL CONTRACTOR,PEERLESS ENTERPRISES INC.,ST. CHARLES,IL,60174,OWNER OCCUPIED,PEERLESS ENTERPRISES,ST. CHARLES,IL,60174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3372.0,13-16-228-014-0000,,,,,,,,,,15.0,150200.0,45.0,1142610.9533539629,1928998.6454009037,41.961225973,-87.751077276,POINT (-87.751077275898 41.961225973234)
4,3330607,101021857,PERMIT - EASY PERMIT PROCESS,EASY PERMIT WEB,2023-06-26T00:00:00.000,2023-06-26T00:00:00.000,0,2857,S,HAMLIN,AVE,"WINDOWS (REPLACEMENT ONLY): QTY 10, ROOF RECOVER ONLY - NO STRUCTURAL WORK",0.0,0.0,0,0.0,525.0,50.0,0,575.0,0.0,0,0,0.0,575.0,CONTRACTOR-GENERAL CONTRACTOR,"LAGRANGE PARK ELECTRIC, INC",LA GRANGE PARK,IL,60526,OWNER,ALEXIS SANCHEZ,CALUMET CITY,IL,60409,OWNER,MICHAEL WALDEN,LAGRANGE PARK,IL,60526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,16-26-320-021-0000,,,,,,,,,,30.0,301702.0,22.0,1151551.592952959,1884504.0085399917,41.838956911,-87.719377128,POINT (-87.719377128273 41.838956910812)
5,3330784,101021979,PERMIT - EASY PERMIT PROCESS,EASY PERMIT WEB,2023-06-26T00:00:00.000,2023-06-26T00:00:00.000,0,9526,S,LOOMIS,ST,"WINDOWS (REPLACEMENT ONLY): QTY 15, DOORS (REPLACEMENT ONLY): QTY 8, ROOF RECOVER ONLY - NO STRUCTURAL WORK, TUCKPOINTING - NO STRUCTURAL WORK - 50 SQFT",0.0,0.0,0,0.0,1000.0,50.0,0,1050.0,0.0,0,0,0.0,1050.0,CONTRACTOR-GENERAL CONTRACTOR,DB GENERAL CONSTRUCTION INC,CHICAGO,IL,60621,OWNER,JONATHAN DIAZ,CHICAGO,IL,60639,OWNER,JONATHAN DIAZ,CHICAGO,IL,60643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000.0,25-08-103-099-0000,,,,,,,,,,73.0,730400.0,21.0,1168664.0441097622,1841452.849517825,41.72046643,-87.657823607,POINT (-87.657823606674 41.720466430171)
6,3330676,101021899,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,2023-06-26T00:00:00.000,2023-06-26T00:00:00.000,0,57,E,DELAWARE,PL,LIKE FOR LIKE REPLACEMENT OF FAN COIL UNIT WITH CHILLED WATER COOLING COIL AND ELECTRIC HEAT COIL.,0.0,0.0,0,0.0,75.0,0.0,0,75.0,0.0,0,0,0.0,75.0,BUILDING OWNER,MIKE MOORMAN,CHICAGO,IL,60611,CONTRACTOR-REFRIGERATION,GT MECHANICAL PROJECTS& DESIGN,HOMER GLEN,IL,60491-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,17-03-217-015-1130,,,,,,,,,,8.0,81201.0,42.0,1176802.2925691688,1906605.492912176,41.899072092,-87.626051328,POINT (-87.626051328351 41.89907209192)
7,3330636,101021872,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,2023-06-26T00:00:00.000,2023-06-26T00:00:00.000,0,8142,S,CHAMPLAIN,AVE,REPAIR SERVICE,75.0,0.0,0,75.0,0.0,0.0,0,0.0,0.0,0,0,0.0,75.0,CONTRACTOR-ELECTRICAL,SUNRUN INSTALLATION SERVICES,SOMERSET,NJ,08873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500.0,20-34-220-030,,,,,,,,,,44.0,440201.0,6.0,1181946.2810366135,1850968.4905653556,41.746282168,-87.60888095,POINT (-87.608880949639 41.746282168339)
8,3330775,101021970,PERMIT - EASY PERMIT PROCESS,EASY PERMIT WEB,2023-06-26T00:00:00.000,2023-06-26T00:00:00.000,0,7744,W,HOOD,AVE,FENCES: 77FT 0IN X 6FT 0IN: QTY 1,150.0,75.0,0,225.0,0.0,0.0,0,0.0,0.0,0,0,0.0,225.0,CONTRACTOR-GENERAL CONTRACTOR,"TOP LINE FENCE COMPANY, INC.",CHICAGO,IL,60639,OWNER OCCUPIED,STEFANIE LOSIK,CHICAGO,IL,60631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000.0,12-01-120-023-0000,,,,,,,,,,10.0,100400.0,41.0,1123487.6389863866,1939775.3355533632,41.991133443,-87.821149418,POINT (-87.821149417526 41.991133443344)
9,3301084,101001855,PERMIT - RENOVATION/ALTERATION,SELF CERT,2023-06-26T00:00:00.000,2023-06-26T00:00:00.000,0,1310,N,CAMPBELL,AVE,"SELF-CERT 2019 CBRC:OCCUPANCY GROUP: R-5 - NO CHANGE ALTERATION LEVEL: LEVEL 3 NEW HORIZONTAL AND VERTICAL FRAME ADDITION ON EXISTING MASONRY SINGLE-FAMILY RESIDENTIAL BUILDING. NEW MECHANICAL, ELECTRICAL, & PLUMBING SYSTEMS. NEW FINISHES.  NEW WINDOWS.  NEW UNDERPINNING AT THE BASEMENT TO INCREASE THE HEIGHT FLOOR TO CEILING HEIGHT.TYPE III  CONST WITH V-A ADDITION.",1153.58,75.0,0,1228.58,0.0,0.0,0,0.0,0.0,0,0,0.0,1228.58,SELF CERT ARCHITECT,WILLIAMS GREGORY R,CHICAGO,IL,60616,CONTRACTOR-ELECTRICAL,C & X ELECTRIC CO.,CHICAGO,IL,60617-,CONTRACTOR-GENERAL CONTRACTOR,DUBBS ENTERPRISES LLC,CHICAGO,IL,60622,MASONRY CONTRACTOR,DECORATIVE CONCRETE,"CHICAGO,",IL,60618,OWNER,JASON WILLIAMS,CHICAGO,IL,60622,CONTRACTOR-PLUMBER/PLUMBING,WAL - MOR GENERAL & MECHANICAL,CHICAGO,IL,60628-,CONTRACTOR-REFRIGERATION,DUBBS ENTERPRISES LLC,CHICAGO,IL,60622-,CONTRACTOR-VENTILATION,DUBBS ENTERPRISES LLC,CHICAGO,IL,60622-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424000.0,16-01-219-041-0000,,,,,,,,,,24.0,241100.0,26.0,1159459.639531802,1908699.5260834305,41.905192962,-87.689692486,POINT (-87.689692485742 41.905192961791)
