,permit_number,permit_type,permit_type_definition,permit_creation_date,block,lot,street_number,street_number_suffix,street_name,street_suffix,unit,unit_suffix,description,status,status_date,filed_date,issued_date,completed_date,first_construction_document_date,structural_notification,number_of_existing_stories,number_of_proposed_stories,voluntary_soft_story_retrofit,fire_only_permit,estimated_cost,revised_cost,existing_use,existing_units,proposed_use,proposed_units,plansets,tidf_compliance,existing_occupancy,proposed_occupancy,existing_construction_type,existing_construction_type_description,proposed_construction_type,proposed_construction_type_description,site_permit,last_permit_activity_date,application_submission_method,adu,primary_address_flag,supervisor_district,neighborhoods_analysis_boundaries,zipcode,location,point_source,record_id,data_as_of,data_loaded_at
0,202306260894,8,otc alterations permit,2023-06-26T15:47:02.000,1430,022,210,,Clement,St,,,"accessible business entrance program per ordinance 51-16 regrade sidewalk in front of the property to provide level landing at exteriro side door, modify interior flooring to provide level door maneuvering clearance, adjust (e) door closer pressure, and install kick plate at push side of door",filed,2023-06-26T15:47:02.000,2023-06-26T15:47:02.000,,,,,2.0,,,,4000.0,0.0,food/beverage hndlng,2.0,food/beverage hndlng,2.0,2,,"R-2,B","R-2,B",5,wood frame (5),5,wood frame (5),,2023-06-26T15:46:03.000,in-house,N,Y,1,Inner Richmond,94118.0,POINT (-122.461497167 37.783329936),parcel_centroid,1672039358767,2023-06-26T23:55:00.000,2023-06-27T04:12:11.000
1,202306260882,8,otc alterations permit,2023-06-26T14:35:26.000,6490,049,456,,Hanover,St,,,re-roofing: remove and replace roofing material / existing roofing material (in-kind),issued,2023-06-26T14:36:44.000,2023-06-26T14:35:26.000,2023-06-26T14:36:44.000,,,,,,,,10200.0,10200.0,2 family dwelling,,2 family dwelling,,0,,R-3,R-3,,,,,,2023-06-26T14:35:26.000,website,N,Y,11,Excelsior,94112.0,POINT (-122.446260585 37.708340255),parcel_centroid,1672026204955,2023-06-26T23:55:00.000,2023-06-27T04:12:11.000
2,202306260881,8,otc alterations permit,2023-06-26T14:28:24.000,0942,011,2746,,Filbert,St,,,"bathroom remodel on upper fl. replace in-kind tile, tub and fixtures, replace vanity top. remodel in-kind.",issued,2023-06-26T15:09:43.000,2023-06-26T14:28:25.000,2023-06-26T15:09:43.000,,,,3.0,3.0,,,30000.0,30000.0,1 family dwelling,1.0,1 family dwelling,1.0,0,,R-3,R-3,5,wood frame (5),5,wood frame (5),,2023-06-26T15:05:54.000,in-house,N,Y,2,Marina,94123.0,POINT (-122.44479108 37.797106654),parcel_centroid,167202584848,2023-06-26T23:55:00.000,2023-06-27T04:12:11.000
3,202306260866,8,otc alterations permit,2023-06-26T13:03:28.000,3283,159,500,,Dorado,Tr,,,reroofing,issued,2023-06-26T13:36:50.000,2023-06-26T13:03:29.000,2023-06-26T13:36:50.000,,,,2.0,2.0,,,18000.0,18000.0,apartments,13.0,apartments,13.0,0,,R-2,R-2,5,wood frame (5),5,wood frame (5),,2023-06-26T13:24:47.000,in-house,N,Y,7,West of Twin Peaks,94112.0,POINT (-122.46163132 37.725626771),parcel_centroid,1672008437507,2023-06-26T23:55:00.000,2023-06-27T04:12:11.000
4,202306260853,8,otc alterations permit,2023-06-26T11:56:44.000,0573,011,1580,,Pacific,Av,,,"rev to pa 201912129356-s, to add exterior lighting. all downcast lighting",filed,2023-06-26T11:56:44.000,2023-06-26T11:56:44.000,,,,,,6.0,,,1.0,0.0,,,apartments,53.0,2,,,"B,M,S-2,R-2",,,3,constr type 3,,2023-06-26T14:29:59.000,in-house,N,Y,3,Russian Hill,94109.0,POINT (-122.421285468 37.795338497),parcel_centroid,1671985388565,2023-06-26T23:55:00.000,2023-06-27T04:12:11.000
5,202306260850,8,otc alterations permit,2023-06-26T11:52:46.000,4098,036A,629,,Wisconsin,St,,,re-roofing: remove and replace roofing material / existing roofing material (in-kind),issued,2023-06-26T11:53:44.000,2023-06-26T11:52:46.000,2023-06-26T11:53:44.000,,,,,,,,18000.0,18000.0,2 family dwelling,,2 family dwelling,,0,,R-3,R-3,,,,,,2023-06-26T11:52:46.000,website,N,Y,10,Potrero Hill,94107.0,POINT (-122.398781696 37.758929522),parcel_centroid,1671980170507,2023-06-26T23:55:00.000,2023-06-27T04:12:11.000
6,202306260843,8,otc alterations permit,2023-06-26T11:41:43.000,4991,679,114,,Otter Cove,Tr,,,"maintenance of (e) exterior walls, stucco waterproof privancy fence on patios maintenance, roof maintenance deck coating maintanence.all repairs to be done same and in-kind. not visible from street.",issued,2023-06-26T12:26:36.000,2023-06-26T11:41:43.000,2023-06-26T12:26:36.000,,,,3.0,3.0,,,50000.0,50000.0,apartments,8.0,apartments,8.0,0,,R-2,R-2,3,constr type 3,3,constr type 3,,2023-06-26T12:21:16.000,in-house,N,,10,Bayview Hunters Point,94134.0,POINT (-122.394310985 37.712335136),parcel_centroid,1671999494921,2023-06-26T23:55:00.000,2023-06-27T04:12:11.000
7,202306260843,8,otc alterations permit,2023-06-26T11:41:43.000,4991,678,115,,West Crystal Cove,Tr,,,"maintenance of (e) exterior walls, stucco waterproof privancy fence on patios maintenance, roof maintenance deck coating maintanence.all repairs to be done same and in-kind. not visible from street.",issued,2023-06-26T12:26:36.000,2023-06-26T11:41:43.000,2023-06-26T12:26:36.000,,,,3.0,3.0,,,50000.0,50000.0,apartments,8.0,apartments,8.0,0,,R-2,R-2,3,constr type 3,3,constr type 3,,2023-06-26T12:21:16.000,in-house,N,,10,Bayview Hunters Point,94134.0,POINT (-122.394310985 37.712335136),parcel_centroid,1671997494924,2023-06-26T23:55:00.000,2023-06-27T04:12:11.000
8,202306260843,8,otc alterations permit,2023-06-26T11:41:43.000,4991,682,108,,Otter Cove,Tr,,,"maintenance of (e) exterior walls, stucco waterproof privancy fence on patios maintenance, roof maintenance deck coating maintanence.all repairs to be done same and in-kind. not visible from street.",issued,2023-06-26T12:26:36.000,2023-06-26T11:41:43.000,2023-06-26T12:26:36.000,,,,3.0,3.0,,,50000.0,50000.0,apartments,8.0,apartments,8.0,0,,R-2,R-2,3,constr type 3,3,constr type 3,,2023-06-26T12:21:16.000,in-house,N,,10,Bayview Hunters Point,94134.0,POINT (-122.394310985 37.712335136),parcel_centroid,1671998494928,2023-06-26T23:55:00.000,2023-06-27T04:12:11.000
9,202306260843,8,otc alterations permit,2023-06-26T11:41:43.000,4991,675,109,,West Crystal Cove,Tr,,,"maintenance of (e) exterior walls, stucco waterproof privancy fence on patios maintenance, roof maintenance deck coating maintanence.all repairs to be done same and in-kind. not visible from street.",issued,2023-06-26T12:26:36.000,2023-06-26T11:41:43.000,2023-06-26T12:26:36.000,,,,3.0,3.0,,,50000.0,50000.0,apartments,8.0,apartments,8.0,0,,R-2,R-2,3,constr type 3,3,constr type 3,,2023-06-26T12:21:16.000,in-house,N,Y,10,Bayview Hunters Point,94134.0,POINT (-122.394310985 37.712335136),parcel_centroid,1671995494925,2023-06-26T23:55:00.000,2023-06-27T04:12:11.000
